TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F1,40.82,-97.48
F1,41.45,-97.33
F1,42.78,-103.75
F2,40.08,-96.75
F2,40.78,-98.17
F4,41.33,-99.13
F4,41.35,-99.1
F2,41.47,-98.63
F2,41.35,-97.07
F3,41.7,-98.02
F1,32.62,-86.98
F2,33.42,-86.12
F3,33.8,-87.23
F3,31.53,-88.0
F3,42.97,-70.97
F1,43.23,-70.83
F1,40.18,-98.57
F2,42.22,-97.02
F1,41.42,-102.48
F1,40.1,-98.85
F2,41.95,-97.67
F2,42.13,-97.6
F1,42.28,-97.78
F2,42.25,-97.42
F2,41.55,-96.25
F1,42.23,-95.68
F1,42.05,-95.72
F3,43.27,-94.63
F2,41.88,-92.62
F1,41.83,-91.95
F4,40.87,-93.33
F4,43.07,-93.52
F2,41.88,-92.45
F4,43.17,-93.5
F1,44.38,-98.23
F1,39.8,-104.5
F1,40.0,-105.27
F2,38.5,-103.77
F3,42.3,-93.3
F3,42.55,-93.05
F3,43.2,-92.4
F3,41.98,-91.57
F3,42.02,-91.38
F1,41.6,-92.1
F2,42.75,-96.6
F2,42.37,-95.48
F2,42.83,-94.7
F2,43.0,-94.47
F2,42.3,-94.3
F2,41.42,-93.92
F3,42.55,-94.7
F1,42.17,-94.07
F2,42.47,-94.0
F2,41.7,-92.75
F5,41.45,-94.7
F1,41.02,-95.08
F1,41.38,-93.58
F2,41.4,-92.6
F2,38.4,-89.47
F3,40.18,-88.22
F3,40.23,-87.88
F1,34.0,-98.5
F1,26.25,-97.73
F2,31.9,-100.63
F2,33.93,-98.5
F1,29.73,-94.98
F1,30.3,-97.78
F2,27.83,-97.07
F2,31.77,-95.72
F3,29.5,-97.93
F3,30.5,-96.97
F1,39.65,-87.18
F4,43.45,-92.4
F3,42.95,-91.33
F3,42.15,-93.7
F2,41.03,-85.13
F1,40.77,-84.92
F3,40.25,-87.52
F3,40.27,-86.7
F3,40.28,-86.25
F3,40.28,-85.87
F1,40.42,-86.88
F1,40.98,-102.28
F1,41.0,-102.27
F2,37.1,-106.1
F1,35.82,-96.67
F1,34.97,-99.23
F1,36.8,-96.98
F1,34.5,-96.97
F1,35.75,-95.38
F1,34.18,-97.22
F1,34.37,-97.07
F1,35.33,-96.92
F1,35.33,-99.9
F2,29.2,-96.03
F2,30.37,-96.18
F1,31.43,-94.9
F2,30.63,-96.48
F1,33.5,-81.03
F1,33.37,-79.3
F2,36.98,-97.62
F1,34.93,-95.8
F1,34.67,-97.15
F1,34.15,-97.13
F1,36.1,-98.58
F1,36.83,-95.9
F3,34.63,-97.17
F2,34.67,-96.75
F1,36.62,-98.57
F1,36.62,-98.57
F1,34.4,-97.97
F1,34.97,-98.03
F1,36.7,-100.85
F1,36.55,-97.4
F1,35.6,-95.92
F2,32.17,-94.33
F4,33.28,-99.95
F4,33.4,-99.82
F3,30.0,-97.17
F3,29.55,-98.53
F4,29.57,-98.7
F4,31.53,-100.58
F5,31.55,-97.15
F2,31.32,-96.22
F3,31.23,-95.57
F1,34.5,-101.8
F3,42.1,-71.48
F2,40.12,-89.45
F1,44.8,-73.1
F5,43.15,-83.47
F3,32.8,-90.95
F2,34.02,-79.77
F3,32.6,-85.58
F1,45.17,-98.12
F2,36.62,-77.63
F1,38.87,-77.85
F2,37.2,-80.0
F1,36.72,-82.3
F1,36.58,-79.4
F2,33.12,-88.57
F1,38.77,-76.9
F2,35.57,-77.18
F1,42.75,-104.83
F2,43.87,-105.27
F1,41.33,-106.25
F1,42.18,-104.42
F1,41.35,-104.38
F4,44.87,-91.07
